1820 720  1820.553   ?  
1820 721  1820.556   ?  
1820 722  1820.558  59  
1820 723  1820.561   ?  
1820 724  1820.564   ?  
1820 725  1820.567  23  
1820 726  1820.569   ?  
1820 727  1820.572   ?  
1820 728  1820.575   ?  
1820 729  1820.578   ?  
1820 730  1820.580   ?  
1820 731  1820.583   ?  
1820 8 1  1820.586   ?  
1820 8 2  1820.589  17  
1820 8 3  1820.591   ?  
1820 8 4  1820.594   ?  
1820 8 5  1820.597   ?  
1820 8 6  1820.600   ?  
1820 8 7  1820.602   ?  
1820 8 8  1820.605   ?  
1820 8 9  1820.608   ?  
1820 810  1820.611   ?  
1820 811  1820.613   ?  
1820 812  1820.616   ?  
1820 813  1820.619   ?  
1820 814  1820.621  20  
1820 815  1820.624  38  
1820 816  1820.627  19  
1820 817  1820.630  43  
1820 818  1820.632  24  
1820 819  1820.635  27  
1820 820  1820.638  23  
1820 821  1820.641   ?  
1820 822  1820.643  23  
1820 823  1820.646  25  
1820 824  1820.649  27  
1820 825  1820.652   ?  
1820 826  1820.654  38  
1820 827  1820.657  31  
1820 828  1820.660  15  
1820 829  1820.663  15  
1820 830  1820.665  39  
1820 831  1820.668  16  
1820 9 1  1820.671  18  
1820 9 2  1820.673  16  
1820 9 3  1820.676   ?  
1820 9 4  1820.679  15  
1820 9 5  1820.682   0  
1820 9 6  1820.684   0  
1820 9 7  1820.687   0  
1820 9 8  1820.690   0  
1820 9 9  1820.693   0  
1820 910  1820.695   0  
1820 911  1820.698   0  
1820 912  1820.701   0  
1820 913  1820.704   0  
1820 914  1820.706   0  
1820 915  1820.709   0  
1820 916  1820.712  16  
1820 917  1820.715   ?  
1820 918  1820.717  17  
1820 919  1820.720  16  
1820 920  1820.723  16  
1820 921  1820.726   ?  
1820 922  1820.728   ?  
1820 923  1820.731  15  
1820 924  1820.734   ?  
1820 925  1820.736   0  
1820 926  1820.739   0  
1820 927  1820.742   0  
1820 928  1820.745   0  
1820 929  1820.747   0  
1820 930  1820.750   0  
182010 1  1820.753   0  
182010 2  1820.756   0  
182010 3  1820.758   0  
182010 4  1820.761   0  
182010 5  1820.764   0  
182010 6  1820.767   0  
182010 7  1820.769   0  
182010 8  1820.772   0  
182010 9  1820.775   0  
18201010  1820.778   0  
18201011  1820.780   0  
18201012  1820.783  15  
18201013  1820.786  15  
18201014  1820.788  15  
18201015  1820.791   ?  
18201016  1820.794   ?  
18201017  1820.797  32  
